08/11/2012,"
																		LE POSTICHE VOTORANTIM SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 07 DE 08
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 28,12
																	",19/04/2013
02/12/2012,"
																		SUBMARINO SAO PAULO SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 06 DE 12
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 5,34
																	",19/04/2013
08/12/2012,"
																		EXTRA COM
																		
																			
																			COMPRA PARCELADA PRESTACAO 06 DE 12
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 12,74
																	",19/04/2013
19/01/2013,"
																		COLLINS 36 PLS SAO PAULO SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 04 DE 04
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 45,01
																	",19/04/2013
21/02/2013,"
																		ADIDAS ECOMMERCE BARUERI SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 06
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 31,65
																	",19/04/2013
23/02/2013,"
																		ARACY MARQUES SAO PAULO SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 03
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 63,20
																	",19/04/2013
26/02/2013,"
																		CMD AUTOMOVEIS SAO PAULO SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 03
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 561,80
																	",19/04/2013
11/03/2013,"
																		CASA BAYARD
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 03
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 66,60
																	",19/04/2013
13/03/2013,"
																		DROGARIA S PAULO 214 SAO PAULO SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 03 DE 03
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 60,32
																	",19/04/2013
30/03/2013,"
																		SERRA VERDE EXPRESS CURITIBA PR
																		
																			
																			COMPRA PARCELADA PRESTACAO 02 DE 03
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 43,33
																	",19/04/2013
30/03/2013,"
																		TOK & STOK CURITIBA PR
																		
																			
																			COMPRA PARCELADA PRESTACAO 02 DE 05
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 21,68
																	",19/04/2013
16/04/2013,"
																		NET SHOES SAO PAULO SP
																		
																			
																			COMPRA PARCELADA PRESTACAO 02 DE 06
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 26,65
																	",19/04/2013
19/04/2013,"
																		TERRAL BEACH BAR SAO PAULO SP
																		
																			
																			Restaurante
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 16,61
																	",19/04/2013
19/04/2013,"
																		DROG ESTRELA SAO JOSE SAO PAULO SP
																		
																			
																			Drogaria e farmácia
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 11,90
																	",19/04/2013
19/04/2013,"
																		KALUNGA COM SAO PAULO SP
																		
																			
																			Atacadista
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 35,65
																	",19/04/2013
20/04/2013,"
																		CINEMARK SANTA CRUZ
																		
																			
																			Entretenimento
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 6,50
																	",19/04/2013
20/04/2013,"
																		PIZZA PERUGIA SAO PAULO SP
																		
																			
																			Loja de conveniência
																		
																		
																		
																	","
																		
																		
																			 
																		
																		R$ 29,00
																	",19/04/2013
