Date,Payee,Category,Memo,Outflow,Inflow
08/05/2013,LE POSTICHE VOTORANTIM SP COMPRA PARCELADA PRESTACAO 07 DE 08,,Data da compra: 2012-11-08,28.12,
02/05/2013,SUBMARINO SAO PAULO SP COMPRA PARCELADA PRESTACAO 06 DE 12,,Data da compra: 2012-12-02,5.34,
08/05/2013,EXTRA COM COMPRA PARCELADA PRESTACAO 06 DE 12,,Data da compra: 2012-12-08,12.74,
19/04/2013,COLLINS 36 PLS SAO PAULO SP COMPRA PARCELADA PRESTACAO 04 DE 04,,Data da compra: 2013-01-19,45.01,
21/04/2013,ADIDAS ECOMMERCE BARUERI SP COMPRA PARCELADA PRESTACAO 03 DE 06,,Data da compra: 2013-02-21,31.65,
23/04/2013,ARACY MARQUES SAO PAULO SP COMPRA PARCELADA PRESTACAO 03 DE 03,,Data da compra: 2013-02-23,63.2,
26/04/2013,CMD AUTOMOVEIS SAO PAULO SP COMPRA PARCELADA PRESTACAO 03 DE 03,,Data da compra: 2013-02-26,561.8,
11/05/2013,CASA BAYARD COMPRA PARCELADA PRESTACAO 03 DE 03,,Data da compra: 2013-03-11,66.6,
13/05/2013,DROGARIA S PAULO 214 SAO PAULO SP COMPRA PARCELADA PRESTACAO 03 DE 03,,Data da compra: 2013-03-13,60.32,
30/04/2013,SERRA VERDE EXPRESS CURITIBA PR COMPRA PARCELADA PRESTACAO 02 DE 03,,Data da compra: 2013-03-30,43.33,
30/04/2013,TOK & STOK CURITIBA PR COMPRA PARCELADA PRESTACAO 02 DE 05,,Data da compra: 2013-03-30,21.68,
16/05/2013,NET SHOES SAO PAULO SP COMPRA PARCELADA PRESTACAO 02 DE 06,,Data da compra: 2013-04-16,26.65,
19/04/2013,TERRAL BEACH BAR SAO PAULO SP Restaurante,,,16.61,
19/04/2013,DROG ESTRELA SAO JOSE SAO PAULO SP Drogaria e farmácia,,,11.9,
19/04/2013,KALUNGA COM SAO PAULO SP Atacadista,,,35.65,
20/04/2013,CINEMARK SANTA CRUZ Entretenimento,,,6.5,
20/04/2013,PIZZA PERUGIA SAO PAULO SP Loja de conveniência,,,29.0,
20/04/2013,TICKETS FOR FUN SAO PAULO SP Produtor de teatro e evento,,,923.0,
20/04/2013,INGRESSO PONTO COM RIO DE JANEIRO RJ Produtor de teatro e evento,,,27.82,
21/04/2013,NANDEMOYA SAO PAULO SP Restaurante,,,101.07,
21/04/2013,SHIMBUENO SAO PAULO SP Mercearia e Supermercados,,,43.8,
21/04/2013,DROGA RAIA FL58 SAO PAULO SP Drogaria e farmácia,,,64.49,
22/04/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,19.07,
23/04/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,18.03,
23/04/2013,HOTEL MOBY DICK SAO SEBASTIAO SP Hotéis e Resorts,,,110.0,
23/04/2013,CENTER CAR SAO PAULO Posto de abastecimento,,,80.0,
24/04/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,21.06,
25/04/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,16.89,
26/04/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
26/04/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,16.75,
27/04/2013,EXPORT OSASCO SP Hotéis e Resorts,,,130.5,
28/04/2013,HOTEL MOBY DICK SAO SEBASTIAO SP Hotéis e Resorts,,,200.2,
28/04/2013,GRUPO QUALITY MOGI DAS CRUZES SP Posto de abastecimento,,,60.0,
28/04/2013,POSTO TIGRE DO VALE MOGI DAS CRU Posto de abastecimento,,,46.0,
29/04/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,19.71,
30/04/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,24.44,
30/04/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
01/05/2013,GENERAL PRIME BURGER SAO PAULO SP Restaurante,,,49.33,
02/05/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,15.16,
02/05/2013,PAGAMENTO RECEBIDO - OBRIGADO,,,,3141.52
03/05/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,16.69,
03/05/2013,JOAKIN S SAO PAULO SP Lanchonete,,,41.2,
