Date,Payee,Category,Memo,Outflow,Inflow
08/04/2013,LE POSTICHE VOTORANTIM SP COMPRA PARCELADA PRESTACAO 06 DE 08,,Data da compra: 2012-11-08,28.12,
02/04/2013,SUBMARINO SAO PAULO SP COMPRA PARCELADA PRESTACAO 05 DE 12,,Data da compra: 2012-12-02,5.34,
08/04/2013,EXTRA COM COMPRA PARCELADA PRESTACAO 05 DE 12,,Data da compra: 2012-12-08,12.74,
19/03/2013,COLLINS 36 PLS SAO PAULO SP COMPRA PARCELADA PRESTACAO 03 DE 04,,Data da compra: 2013-01-19,44.99,
21/03/2013,ADIDAS ECOMMERCE BARUERI SP COMPRA PARCELADA PRESTACAO 02 DE 06,,Data da compra: 2013-02-21,31.65,
23/03/2013,ARACY MARQUES SAO PAULO SP COMPRA PARCELADA PRESTACAO 02 DE 03,,Data da compra: 2013-02-23,63.2,
23/03/2013,DI POLLINI SAO PAULO SP COMPRA PARCELADA PRESTACAO 02 DE 02,,Data da compra: 2013-02-23,44.0,
26/03/2013,CMD AUTOMOVEIS SAO PAULO SP COMPRA PARCELADA PRESTACAO 02 DE 03,,Data da compra: 2013-02-26,561.79,
11/04/2013,CASA BAYARD COMPRA PARCELADA PRESTACAO 02 DE 03,,Data da compra: 2013-03-11,66.6,
13/04/2013,DROGARIA S PAULO 214 SAO PAULO SP COMPRA PARCELADA PRESTACAO 02 DE 03,,Data da compra: 2013-03-13,60.31,
19/03/2013,PAYPAL *JZENG4U .99 Dólar Norte-Americano Embalagens,,,2.05,
21/03/2013,MAGO SOUND PROJECTS SAO PAULO SP Loja de acessórios e peças para veícul,,,160.0,
22/03/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,29.19,
22/03/2013,PAYPAL *HEDANZHE 2.99 Dólar Norte-Americano Embalagens,,,6.22,
23/03/2013,SELETTI SAO PAULO SP Lanchonete,,,24.4,
24/03/2013,O MARQUES SAO PAULO SP Bar e restaurante,,,75.91,
25/03/2013,TERRAL BEACH BAR SAO PAULO SP Restaurante,,,14.31,
25/03/2013,CENTER CAR SAO PAULO Posto de abastecimento,,,90.02,
27/03/2013,OUTBACK VILA LOBOS Restaurante,,,67.0,
28/03/2013,TERRAL BEACH BAR SAO PAULO SP Restaurante,,,13.32,
28/03/2013,CENTRO AUTOMOTIVO ABRA SAO PAULO SP Posto de abastecimento,,,26.01,
29/03/2013,A P BOA VIAGEM SAO PAULO SP Hotéis e Resorts,,,65.0,
29/03/2013,A P BOA VIAGEM SAO PAULO SP Hotéis e Resorts,,,75.0,
29/03/2013,POSTO ALPINO IV LTD ANTONINA PR Posto de abastecimento,,,101.92,
29/03/2013,REST VELHO MADALOSSO Restaurante,,,93.5,
30/03/2013,RESTAURANTE MADERO Restaurante,,,84.1,
30/03/2013,BOB S CURITIBA PR Lanchonete,,,10.5,
30/03/2013,SERRA VERDE EXPRESS CURITIBA PR Agências de viagem e turismo,,,43.33,
30/03/2013,"TOK & STOK CURITIBA PR Artigos de cama, mesa e banho",,,21.68,
30/03/2013,MCDONALD S SHP CURITIBA PR Lanchonete,,,18.0,
31/03/2013,ATRIO HOTEL CURITIBA PR Hotéis e Resorts,,,286.6,
31/03/2013,RODOSNACK PETROPEN PARIQUERA ACU SP Restaurante,,,27.5,
31/03/2013,GRAAL-A POSTO PETROPEN PARIQUERA-ACU S Posto de abastecimento,,,69.96,
01/04/2013,SEM PARAR VIA FACIL OSASCO SP Pedágios,,,50.0,
01/04/2013,ST MARCHE ALTO DA LAPA SAO PAULO SP Mercearia e Supermercados,,,10.8,
01/04/2013,JARDIM LEOPOLDINA SAO PAULO SP Lanchonete,,,16.59,
01/04/2013,CENTER CAR SAO PAULO Posto de abastecimento,,,77.14,
02/04/2013,LEOPOLDINA PIZZA GR SAO PAULO SP Restaurante,,,19.51,
02/04/2013,PAGAMENTO RECEBIDO - OBRIGADO,,,,6658.64
03/04/2013,TERRAL BEACH BAR SAO PAULO SP Restaurante,,,19.74,
04/04/2013,"DÉBITO REF VARIAÇÃO CAMBIAL- TAXA: 2,",,,10.92,
04/04/2013,"DÉBITO REF VARIAÇÃO DE IOF - TAXA: 2,",,,0.7,
04/04/2013,PANIFICADORA SALUT SAO PAULO SP Loja de conveniência,,,21.42,
05/04/2013,TERRAL BEACH BAR SAO PAULO SP Restaurante,,,16.12,
06/04/2013,KOPENHAGEN OSASCO SP Confeitaria,,,84.9,
07/04/2013,MCDONALD S XUX SAO PAULO SP Lanchonete,,,56.5,
07/04/2013,LOJAS LUPO SAO PAULO SP Roupas e acessórios femininos,,,34.7,
08/04/2013,TERRAL BEACH BAR SAO PAULO SP Restaurante,,,12.83,
